k,lambda,learn_rate,tolerance,auprc,auroc,sn,sp,prec,acc,f1
1,0.01,0.1,0.0001,0.4309738032473313,0.5166983572415423,0.789932926953579,0.3228454912254765,0.0643480744735089,0.3488494566784176,0.1190022082377402
1,0.01,0.01,0.0001,0.4309721251557503,0.5652530182972872,0.7750708446310982,0.5589204950415319,0.0938713731571033,0.5709541439762469,0.1674609956568851
1,0.01,0.001,0.0001,0.1175588258597385,0.688246948728406,0.6005789892153065,0.8423254019478108,0.1833783598720167,0.8288667539855311,0.2809673004382513
1,0.01,0.0001,0.0001,0.056573841449176,0.5007316769206378,0.999714582781187,0.0003425435481021,0.0556755903688052,0.0559801693864903,0.1054770093803706
1,0.01,1e-05,0.0001,0.0565761303462312,0.5007367066587731,0.999714582781187,0.0003437454552884,0.0556756535817848,0.0559813043803954,0.1054771228193195
1,0.1,0.1,0.0001,0.4309419243141185,0.5161721139378783,0.79235897331349,0.2429847682302277,0.0581207726506667,0.2735698509299005,0.1082977365756337
1,0.1,0.01,0.0001,0.4309419243141185,0.5433890339599798,0.7866710158814295,0.4092397816855787,0.0727911021569271,0.4302523545448561,0.1332522960095449
1,0.1,0.001,0.0001,0.1182123592721104,0.6935559803983857,0.6647774765040468,0.8171562635590155,0.1765113459206651,0.8086729424262992,0.2789547750730365
1,0.1,0.0001,0.0001,0.0565436991057551,0.5007408266783065,0.999714582781187,0.00034975499122,0.0556759696488361,0.0559869793499208,0.1054776900177241
1,0.1,1e-05,0.0001,0.056572030492773,0.5007305483025668,0.999714582781187,0.0003437454552884,0.0556756535817848,0.0559813043803954,0.1054771228193195
1,0.5,0.1,0.0001,0.4309330540173695,0.5160253184862912,0.7912784652708406,0.2804410037848057,0.0608837102780575,0.3088806463109293,0.1130676066390404
1,0.5,0.01,0.0001,0.4309330540173695,0.5659922071194622,0.7867525636582333,0.4073347587952563,0.0725810850205475,0.4284579291809203,0.1329014749993973
1,0.5,0.001,0.0001,0.4378197024657601,0.6628830898221606,0.6620048520927199,0.718881120562108,0.1219074506506085,0.7157146716122135,0.2058988577026602
1,0.5,0.0001,0.0001,0.0501845552635359,0.5056993413315911,0.8545595400705388,0.2270606999186308,0.0611917180891985,0.2619951830858668,0.1142056120600167
1,0.5,1e-05,0.0001,0.0565637169986906,0.5007409306822014,0.999714582781187,0.0003425435481021,0.0556755903688052,0.0559801693864903,0.1054770093803706
1,1.0,0.1,0.0001,0.031102030655394,0.4948115538934546,0.7926443905323031,0.285970978749079,0.0614256825075834,0.3141787978598555,0.1140157563441058
1,1.0,0.01,0.0001,0.0297275096941636,0.4749732055392662,0.9936188864651078,0.0989145576200314,0.0610406900360823,0.1487250613464205,0.1150156577801586
1,1.0,0.001,0.0001,0.0320147692028937,0.5122983721240206,0.9414486962549184,0.2950646085208008,0.0729880052410884,0.3310504822589102,0.1354731394775751
1,1.0,0.0001,0.0001,0.0459537978803401,0.5010401288397792,0.8751299667692809,0.2644640515570106,0.0655458848679187,0.2984614022622698,0.1219573521452487
1,1.0,1e-05,0.0001,0.0565445661917178,0.500727111114119,0.999714582781187,0.0003509568984063,0.055676032862677,0.0559881143438259,0.105477803458137
1,5.0,0.1,0.0001,0.0390744640959558,0.4999560894305757,0.9994699394507756,0.0027619827141708,0.0557902355423345,0.0582512921905609,0.1056813564291018
1,5.0,0.01,0.0001,0.0324679489031667,0.4998995947696595,0.9998572913905934,0.0010035925005799,0.0557178887096407,0.0566123609916214,0.1055537082293539
1,5.0,0.001,0.0001,0.0280912873656876,0.4998852203385308,0.9946790075635564,0.080549415813012,0.0599545579104011,0.1314413741598207,0.113092437247489
1,5.0,0.0001,0.0001,0.0364536942667177,0.5688142627970112,0.9738843244786038,0.2331868208473205,0.0696592282801593,0.2744233663465227,0.1300185896371618
