k,lambda,learn_rate,tolerance,auprc,auroc,sn,sp,prec,acc,f1
1,0.01,0.1,0.0001,0.42855698,0.51524807,0.79252725,0.34919891,0.05985289,0.37122402,0.11130022
1,0.01,0.1,0.001,0.42855698,0.51585093,0.78620994,0.48210524,0.07352799,0.49721355,0.13447921
1,0.01,0.01,0.0001,0.42855698,0.52559929,0.7837714,0.51453227,0.07783271,0.52790841,0.14160344
1,0.01,0.01,0.001,0.34870135,0.68233925,0.54816536,0.82371674,0.13983217,0.81002699,0.22282392
1,0.01,0.001,0.0001,0.09245565,0.69785501,0.58875323,0.82985819,0.15319037,0.81787979,0.24312178
1,0.01,0.001,0.001,0.04928721,0.5018886,0.92740009,0.0788764,0.05000287,0.12103213,0.09488955
1,0.01,0.0001,0.0001,0.04927086,0.50153471,0.92789107,0.0781269,0.04998938,0.12034426,0.09486782
1,0.01,0.0001,0.001,0.04927086,0.50153471,0.92789107,0.0781269,0.04998938,0.12034426,0.09486782
1,0.01,1e-05,0.0001,0.04926599,0.5014362,0.93162253,0.07430325,0.0499834,0.11689596,0.0948765
1,0.01,1e-05,0.001,0.04926599,0.5014362,0.93162253,0.07430325,0.0499834,0.11689596,0.0948765
1,0.1,0.1,0.0001,0.42854924,0.51508217,0.79534221,0.24147956,0.05196768,0.26899616,0.09756073
1,0.1,0.1,0.001,0.42854924,0.51657699,0.7912507,0.40475351,0.06497746,0.42395518,0.1200929
1,0.1,0.01,0.0001,0.42854924,0.53498201,0.78832117,0.46432085,0.07143853,0.4804176,0.13100522
1,0.1,0.01,0.001,0.4330353,0.61228151,0.69519819,0.75687684,0.1300473,0.75381257,0.21910728
1,0.1,0.001,0.0001,0.09392309,0.66870209,0.72010736,0.78113893,0.14676451,0.77810681,0.24383351
1,0.1,0.001,0.001,0.14722921,0.73101921,0.60850709,0.8667018,0.19267063,0.85387436,0.29267275
1,0.1,0.0001,0.0001,0.40155184,0.775964,0.45121273,0.97131705,0.45127181,0.94547761,0.45124227
1,0.1,0.0001,0.001,0.04924469,0.50151829,0.93165526,0.07435629,0.04998779,0.11694799,0.09488457
1,0.1,1e-05,0.0001,0.04926485,0.50144378,0.93165526,0.07430154,0.04998499,0.11689596,0.09487951
1,0.1,1e-05,0.001,0.04926485,0.50144378,0.93165526,0.07430154,0.04998499,0.11689596,0.09487951
1,0.5,0.1,0.0001,0.4285655,0.51531062,0.79424569,0.29253117,0.05543726,0.31745699,0.10364055
1,0.5,0.1,0.001,0.42856549,0.54568001,0.79129979,0.40104023,0.0646044,0.42042882,0.11945601
1,0.5,0.01,0.0001,0.42856549,0.57964577,0.79129979,0.40104023,0.0646044,0.42042882,0.11945601
1,0.5,0.01,0.001,0.43181787,0.61342194,0.78012176,0.54747352,0.0826734,0.55903178,0.14950319
1,0.5,0.001,0.0001,0.43428777,0.66147644,0.69117214,0.70825768,0.11020474,0.70740885,0.19009894
1,0.5,0.001,0.001,0.04346116,0.50629686,0.87720533,0.23141264,0.05630697,0.26349644,0.10582137
1,0.5,0.0001,0.0001,0.04363556,0.50624653,0.8779418,0.22794491,0.05611268,0.26023758,0.10548349
1,0.5,0.0001,0.001,0.04912328,0.50150291,0.92918399,0.07799856,0.05004892,0.12028653,0.09498182
1,0.5,1e-05,0.0001,0.04925239,0.50144209,0.93167163,0.07429212,0.04998534,0.11688783,0.09488023
1,0.5,1e-05,0.001,0.04925239,0.50144209,0.93167163,0.07429212,0.04998534,0.11688783,0.09488023
1,1.0,0.1,0.0001,0.02774589,0.49285032,0.9980688,0.01622806,0.05036691,0.06500716,0.09589456
1,1.0,0.1,0.001,0.02603125,0.45442308,0.99674315,0.06950678,0.05303093,0.11557306,0.10070398
1,1.0,0.01,0.0001,0.02607337,0.45125599,0.99610487,0.07983723,0.05356191,0.12535857,0.10165755
1,1.0,0.01,0.001,0.02778864,0.48219896,0.95625348,0.27685925,0.06466103,0.31061242,0.12113127
1,1.0,0.001,0.0001,0.02794659,0.48786677,0.66627934,0.56326608,0.07386475,0.56838391,0.13298642
1,1.0,0.001,0.001,0.03982369,0.4979706,0.88198422,0.27810072,0.06003692,0.30810242,0.11242129
1,1.0,0.0001,0.0001,0.04305641,0.50583371,0.89013453,0.26571855,0.05959779,0.29674033,0.11171579
1,1.0,0.0001,0.001,0.04719465,0.50136945,0.8771726,0.15177562,0.05128983,0.18781426,0.09691299
1,1.0,1e-05,0.0001,0.04733312,0.50149032,0.87573238,0.15163273,0.05120175,0.18760692,0.09674696
1,1.0,1e-05,0.001,0.04924406,0.50146116,0.93176983,0.07428186,0.04998981,0.11688295,0.09488881
1,5.0,0.1,0.0001,0.024840756,0.499999572,0.0,3.50793735e-05,0.049682926,0.0497146063,0.0946627305
1,5.0,0.1,0.001,0.0296472287,0.499894499,0.0,0.000216465402,0.0496914918,0.0498869808,0.0946782787
1,5.0,0.01,0.0001,0.024840756,0.499999572,0.0,0.000379028353,0.0496991712,0.0500414675,0.0946922177
1,5.0,0.01,0.001,0.02544319,0.49148735,0.99970541,0.01380502,0.05032763,0.0627858,0.09583089
1,5.0,0.001,0.0001,0.02534988,0.49031256,0.99980361,0.01592518,0.05043529,0.06480551,0.09602651
1,5.0,0.001,0.001,0.02849062,0.51320176,0.98540146,0.20479852,0.06084129,0.24357986,0.11460647
1,5.0,0.0001,0.0001,0.03036927,0.54567097,0.9739943,0.24983273,0.06356244,0.28581,0.11933699
1,5.0,0.0001,0.001,0.04201032,0.50172529,0.86520899,0.25493806,0.05723423,0.2852571,0.10736611
1,5.0,1e-05,0.0001,0.04277219,0.50148881,0.86429249,0.24651131,0.0565738,0.27720347,0.10619633
1,5.0,1e-05,0.001,0.04910721,0.50138873,0.92920035,0.0779207,0.05004575,0.12021335,0.09497618
1,10.0,0.1,0.0001,0.024840756,0.499999572,0.0,1.6256295e-05,0.0496820372,0.0496967184,0.0946611173
1,10.0,0.1,0.001,0.024840756,0.499999572,0.0,1.6256295e-05,0.0496820372,0.0496967184,0.0946611173
1,10.0,0.01,0.0001,0.024840756,0.499999572,0.0,0.000166840923,0.049689148,0.0498398218,0.0946740245
1,10.0,0.01,0.001,0.02562758,0.49842775,0.99996727,0.00275758,0.04981026,0.05230022,0.09489368
1,10.0,0.001,0.0001,0.0251874,0.49818331,0.0,0.0031734,0.04983155,0.05269701,0.09493247
1,10.0,0.001,0.001,0.02653508,0.50821451,0.99671042,0.11990985,0.05589653,0.16347042,0.10585652
1,10.0,0.0001,0.0001,0.02663414,0.5088847,0.99610487,0.12936417,0.05643687,0.17242495,0.10682149
1,10.0,0.0001,0.001,0.03936542,0.52015899,0.86463618,0.30793359,0.06130999,0.33559128,0.1145009
1,10.0,1e-05,0.0001,0.04009713,0.51607609,0.86224673,0.30183833,0.06064942,0.32968013,0.11332752
1,10.0,1e-05,0.001,0.04712073,0.50074728,0.87419397,0.15501147,0.0513103,0.19074137,0.09693128
1,15.0,0.1,0.0001,0.024840756,0.499999572,0.0,1.71118895e-05,0.0496820776,0.0496975315,0.0946611906
1,15.0,0.1,0.001,0.024840756,0.499999572,0.0,0.000119783227,0.0496869257,0.049795102,0.0946699906
1,15.0,0.01,0.0001,0.024840756,0.499999572,0.0,0.000148017844,0.0496882591,0.0498219338,0.0946724109
1,15.0,0.01,0.001,0.02484076,0.49999957,0.0,0.00127655,0.04974161,0.0508944,0.09476925
1,15.0,0.001,0.0001,0.02484076,0.49999957,0.0,0.00171119,0.04976219,0.05130744,0.0948066
1,15.0,0.001,0.001,0.0259558,0.50537906,0.99885437,0.07453511,0.05341058,0.12045647,0.10139916
1,15.0,0.0001,0.0001,0.02602778,0.50588454,0.99862525,0.08277192,0.05385268,0.12827268,0.10219435
1,15.0,0.0001,0.001,0.0363394,0.45717888,0.86097018,0.34465827,0.06426805,0.3703093,0.11960785
1,15.0,1e-05,0.0001,0.039043,0.52963851,0.88463553,0.32253174,0.06390278,0.35045777,0.11919534
1,15.0,1e-05,0.001,0.04582451,0.49943217,0.88029852,0.16597934,0.05229381,0.20146762,0.09872301
1,20.0,0.1,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.1,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.01,0.0001,0.024840756,0.499999572,0.0,0.000134328333,0.0496876126,0.0498089244,0.0946712374
1,20.0,0.01,0.001,0.0253300655,0.499573969,0.0,0.00070158747,0.0497144159,0.0503480014,0.0947198879
1,20.0,0.001,0.0001,0.02484076,0.49999957,0.0,0.00115762,0.04973598,0.05078138,0.09475904
1,20.0,0.001,0.001,0.02528435,0.4888022,0.99965631,0.04095217,0.05167619,0.08858181,0.0982723
1,20.0,0.0001,0.0001,0.02610451,0.51633015,0.99955812,0.04759672,0.05201312,0.09489137,0.09888086
1,20.0,0.0001,0.001,0.03222495,0.4756787,0.93471572,0.29595098,0.06490187,0.32768563,0.12137602
1,20.0,1e-05,0.0001,0.03278792,0.46728361,0.91042846,0.31962956,0.06538196,0.3489812,0.12200238
1,20.0,1e-05,0.001,0.04503055,0.49785419,0.88020032,0.17861048,0.0530497,0.21346635,0.10006829
3,0.01,0.1,0.0001,0.42855154,0.5150599,0.79542405,0.23583093,0.0516084,0.26363222,0.09692795
3,0.01,0.1,0.001,0.42855149,0.53157584,0.78205296,0.52987993,0.08000824,0.5424082,0.14516528
3,0.01,0.01,0.0001,0.42853396,0.56160369,0.73131812,0.73394349,0.1256446,0.73381305,0.21444614
3,0.01,0.01,0.001,0.07005389,0.62717451,0.66493732,0.79397542,0.14436832,0.78756464,0.23723024
3,0.01,0.001,0.0001,0.10146684,0.70563385,0.61886681,0.82340359,0.15483834,0.81324194,0.2477024
3,0.01,0.001,0.001,0.04947312,0.50021405,0.9315407,0.07368893,0.04994774,0.1163081,0.09481183
3,0.01,0.0001,0.0001,0.04949618,0.50026064,0.9259926,0.0793273,0.049954,0.1213907,0.09479419
3,0.01,0.0001,0.001,0.04949618,0.50026064,0.9259926,0.0793273,0.049954,0.1213907,0.09479419
3,0.01,1e-05,0.0001,0.04949699,0.50025017,0.92036267,0.08523946,0.04997032,0.12672944,0.09479389
3,0.01,1e-05,0.001,0.04949699,0.50025017,0.92036267,0.08523946,0.04997032,0.12672944,0.09479389
3,0.1,0.1,0.0001,0.42854305,0.51490383,0.79544041,0.2352996,0.05157539,0.26312811,0.09686986
3,0.1,0.1,0.001,0.42854306,0.57287401,0.78850119,0.45328454,0.0701124,0.46993853,0.12877437
3,0.1,0.01,0.0001,0.42862726,0.58075569,0.7912507,0.40448828,0.0649504,0.42370313,0.12004668
3,0.1,0.01,0.001,0.41012316,0.69662907,0.6849203,0.77032422,0.13487383,0.76608124,0.22536834
3,0.1,0.001,0.0001,0.09446359,0.66751775,0.49648129,0.87059048,0.16706042,0.85200426,0.24999897
3,0.1,0.001,0.001,0.04853334,0.50115816,0.88677948,0.13242891,0.05072544,0.16990601,0.09596169
3,0.1,0.0001,0.0001,0.04870798,0.5010304,0.88666492,0.13009913,0.05059025,0.16768628,0.09571908
3,0.1,0.0001,0.001,0.04946745,0.50025581,0.91833328,0.08766079,0.04999136,0.12892965,0.09482094
3,0.1,1e-05,0.0001,0.04949562,0.50025111,0.93445386,0.07045307,0.04993043,0.11337773,0.09479568
3,0.1,1e-05,0.001,0.04949562,0.50025111,0.93445386,0.07045307,0.04993043,0.11337773,0.09479568
3,0.5,0.1,0.0001,0.42855847,0.51520076,0.79468757,0.27138259,0.05394329,0.29738105,0.10102876
3,0.5,0.1,0.001,0.42855847,0.57953599,0.79129979,0.40104023,0.0646044,0.42042882,0.11945601
3,0.5,0.01,0.0001,0.42854009,0.57917575,0.79129979,0.40104023,0.0646044,0.42042882,0.11945601
3,0.5,0.01,0.001,0.43299088,0.61297687,0.77599751,0.55559824,0.0836506,0.56654796,0.15102146
3,0.5,0.001,0.0001,0.43426883,0.66101909,0.69228503,0.70797705,0.11026824,0.70719745,0.19023548
3,0.5,0.001,0.001,0.04466297,0.51194184,0.87471769,0.27555875,0.05937513,0.30532572,0.11120196
3,0.5,0.0001,0.0001,0.04433824,0.50871714,0.86768027,0.277548,0.05907825,0.30686652,0.11062436
3,0.5,0.0001,0.001,0.04929696,0.50009987,0.88178783,0.12722433,0.05016854,0.164712,0.09493578
3,0.5,1e-05,0.0001,0.04947631,0.50021838,0.91833328,0.08749651,0.04998281,0.12877354,0.09480556
3,0.5,1e-05,0.001,0.04947631,0.50021838,0.91833328,0.08749651,0.04998281,0.12877354,0.09480556
3,1.0,0.1,0.0001,0.02780685,0.49457039,0.99787241,0.01859891,0.05047301,0.06725046,0.09608593
3,1.0,0.1,0.001,0.02616427,0.47729425,0.99533567,0.1006778,0.05469524,0.14512554,0.10369241
3,1.0,0.01,0.0001,0.02608426,0.47443114,0.99484469,0.11170385,0.05531079,0.15557941,0.10479523
3,1.0,0.01,0.001,0.02672749,0.47043625,0.9804589,0.22408447,0.06196646,0.26166211,0.1165658
3,1.0,0.001,0.0001,0.02680756,0.46990494,0.97741481,0.2349163,0.06260594,0.27180457,0.11767453
3,1.0,0.001,0.001,0.03977207,0.50984732,0.90388203,0.30575952,0.06372758,0.33547501,0.11906086
3,1.0,0.0001,0.0001,0.04013289,0.50123332,0.88947989,0.31451396,0.0635267,0.343079,0.11858412
3,1.0,0.0001,0.001,0.04815075,0.50040961,0.8862885,0.13578455,0.05088562,0.17307054,0.09624537
3,1.0,1e-05,0.0001,0.04841418,0.5003251,0.88443913,0.13431293,0.05070287,0.17158015,0.09590759
3,1.0,1e-05,0.001,0.04946181,0.50023402,0.91830055,0.08772581,0.04999305,0.12898982,0.09482381
3,5.0,0.1,0.0001,0.024840958,0.499998717,0.999983634,0.000170263301,0.0496885369,0.049842261,0.0946728417
3,5.0,0.1,0.001,0.0285442122,0.499902144,0.999950902,0.00048940004,0.0497020674,0.0501439165,0.0946972544
3,5.0,0.01,0.0001,0.02484098,0.49999872,0.99991817,0.00114393,0.04973147,0.0507643,0.09475047
3,5.0,0.01,0.001,0.02506809,0.49723099,0.99947629,0.01344909,0.05029943,0.06243617,0.09577873
3,5.0,0.001,0.0001,0.0251196,0.49668045,0.99977087,0.01493954,0.0503858,0.06386721,0.09593665
3,5.0,0.001,0.001,0.02824289,0.4603594,0.97910052,0.24544353,0.06352643,0.28189254,0.11931163
3,5.0,0.0001,0.0001,0.02877123,0.48464745,0.97810219,0.24923296,0.06376568,0.28544411,0.11972603
